"","genes","logFC","logCPM","F","PValue","FDR"
"8561","1010001N08Rik",0.3083213,1.350919,0.8907572,0.3674547,0.8446885
"31099","Chchd10",0.1908168,9.484176,0.8906893,0.3674722,0.8446885
"44","Gm1821",0.2110171,2.140284,0.8904229,0.367541,0.8446885
"9615","Iws1",-0.1316128,5.12666,0.8899461,0.367664,0.8448126
"8691","Tspan3",0.2971932,2.311472,0.8887016,0.3679854,0.8448273
"5367","Cmtr2",0.2787602,1.433825,0.8885094,0.3680351,0.8448273
"14371","Clmn",0.2320783,7.287444,0.8878014,0.3682182,0.8448273
"8012","Cyb561d1",-0.1832324,3.137379,0.8876483,0.3682578,0.8448273
"24307","BC005537",0.1465312,7.577558,0.8875404,0.3682857,0.8448273
"29161","Mycbp",-0.2889416,3.565674,0.887163,0.3683834,0.8448273
"12287","Vprbp",0.2596664,4.433265,0.8867652,0.3684864,0.8448273
"4409","Zfp518b",0.3000754,0.6204322,0.8863833,0.3685853,0.8448273
"985","Syncrip",0.1428401,5.434402,0.8861549,0.3686445,0.8448273
"27261","Gm16559",-0.3367656,1.978218,0.8861372,0.3686491,0.8448273
"7297","Cmas",0.1481506,5.724926,0.8859606,0.3686949,0.8448273
"2199","Akap8",-0.1226099,5.4782,0.8858778,0.3687163,0.8448273
"27883","Apobr",0.281043,1.287851,0.8857243,0.3687561,0.8448273
"14351","Zfp119b",-0.3865355,1.881616,0.8853058,0.3688647,0.8448273
"29175","Aspscr1",-0.1385488,5.746968,0.8850617,0.368928,0.8448273
"6904","Zfp938",-0.4014542,2.392014,0.8846689,0.3690299,0.8448273
"21823","Sorbs1",0.3148376,4.165574,0.8841132,0.3691742,0.8448273
"23721","Lipc",0.3144226,6.776872,0.8840298,0.3691959,0.8448273
"25700","Sod3",0.2024046,4.539528,0.8838995,0.3692297,0.8448273
"23012","Mtrf1",-0.1919034,3.265427,0.883784,0.3692597,0.8448273
"20147","Hdlbp",0.2376235,8.554273,0.8837398,0.3692712,0.8448273
"34405","Gnpda2",-0.2619223,1.237047,0.8836291,0.3693,0.8448273
"28173","Rbak",0.1812891,2.423842,0.8836068,0.3693058,0.8448273
"27101","Pilra",-0.3587009,1.381552,0.8834855,0.3693373,0.8448273
"3613","Tmub1",-0.1953488,2.982895,0.8831397,0.3694272,0.8448273
"15503","Nedd8",-0.2200694,5.814806,0.8829934,0.3694652,0.8448273
"15116","Crcp",0.3114039,5.328199,0.8820503,0.3697106,0.8452304
"7099","Ddx19a",0.158889,4.58369,0.8806617,0.3700723,0.8458993
"8868","Gosr1",0.1355878,5.437596,0.8800546,0.3702306,0.8461032
"16460","Chtop",-0.1316002,5.968454,0.8795517,0.3703619,0.8461539
"9249","Lrrc57",0.1703318,3.08182,0.8788816,0.3705368,0.8461539
"23104","Supv3l1",-0.1666842,3.712341,0.8788617,0.370542,0.8461539
"23510","Spon1",0.4946745,0.5190858,0.878852,0.3705445,0.8461539
"17811","Twistnb",0.2483605,4.119469,0.8785081,0.3706344,0.8461539
"23292","Ndufa7",-0.2532009,6.716948,0.8783808,0.3706677,0.8461539
"27240","Adamts13",0.2784767,2.505888,0.8772832,0.3709547,0.8462069
